"X","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6"
9292,9292,230000,"female","highschool","single",25,26214,26504,20010,0,104160,0,2000,1067,0,104160,0,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","pay_duly"
9293,9293,140000,"female","university","married",30,106298,111040,122612,120270,118091,122963,6451,NA,1100,0,7000,0,1,"use_revolv_credit","use_revolv_credit","2_month_delay","4_month_delay","3_month_delay","2_month_delay"
9294,NA,180000,"male","university","single",40,4289,1000,0,0,0,0,1000,0,0,NA,0,10443,0,"pay_duly","pay_duly","pay_duly","no_util","no_util","no_util"
9295,9295,NA,"female","university",NA,27,28332,NA,-1116,NA,92530,83880,0,28,92000,NA,3600,2604,0,"1_month_delay","2_month_delay","2_month_delay","pay_duly","use_revolv_credit","use_revolv_credit"
9296,9296,30000,"male","university","single",35,20290,24727,24031,25579,25030,25526,5100,0,1949,0,912,2100,1,"use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","2_month_delay","use_revolv_credit"
9297,9297,NA,"male","university","married",36,25028,26054,20344,7311,6100,2160,3033,3379,0,NA,NA,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
9298,9298,140000,"male","university","single",30,131026,130023,76098,50419,47202,43946,NA,2169,1651,2122,3006,2505,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9299,NA,20000,"male","highschool","single",38,18878,19286,18977,18335,18718,18475,1318,1289,647,669,664,682,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9300,NA,360000,NA,"graduate",NA,37,797,357,759,0,0,2318,360,759,0,0,2318,0,NA,"pay_duly","pay_duly","pay_duly","pay_duly","no_util","pay_duly"
9301,NA,130000,"female","graduate","single",28,9821,8582,0,NA,1170,NA,8611,0,0,1170,0,1070,1,"no_util","no_util","no_util","no_util","pay_duly","pay_duly"
9302,9302,70000,"female","graduate","married",36,31919,31123,32203,34656,NA,38308,0,1600,3000,3000,2000,1420,1,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9303,9303,300000,"male","graduate","single",41,NA,1610,0,800,0,1951,1610,0,800,0,NA,0,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
9304,9304,NA,"male","university","single",32,NA,75357,62407,63706,59452,47868,25487,NA,50132,22208,30167,25036,0,"no_util",NA,"no_util","no_util","no_util",NA
9305,9305,20000,"male","university",NA,30,39508,16063,17090,17506,17924,NA,2546,1300,NA,NA,900,600,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9306,NA,140000,"male",NA,"married",45,NA,106179,106947,107690,109821,107893,5200,4000,4000,4000,0,4100,1,"pay_duly","3_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
NA,9307,400000,"female","university","single",27,0,0,890,0,0,1180,NA,890,0,0,1180,1470,0,"1_month_delay","no_util","pay_duly","pay_duly","no_util","pay_duly"
9308,9308,30000,"female","university","single",28,15280,16230,17153,17351,19509,NA,NA,1500,780,2600,0,900,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","3_month_delay"
9309,9309,50000,"male","graduate","married",33,12632,13131,14817,13725,13147,5932,1000,2000,7000,5000,5932,25497,0,"2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly"
9310,9310,380000,"male","university","married",38,88112,91640,93480,95256,96964,71250,4569,4000,3000,5000,5000,2070,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9311,9311,360000,"female","university","single",27,5497,3300,512,2512,2593,0,3000,512,2000,2473,0,NA,1,"no_util",NA,NA,"use_revolv_credit",NA,NA
9312,9312,620000,"female","graduate","single",52,NA,32166,17206,164582,75743,54737,32335,17244,154826,76300,55012,55136,0,"pay_duly","pay_duly","pay_duly","use_revolv_credit","pay_duly","pay_duly"
9313,9313,200000,"male","highschool","married",69,83858,66979,NA,64490,53186,52136,3207,3042,2100,NA,2508,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9314,9314,20000,"female","university","married",25,19744,19137,19476,16911,11893,9583,0,1200,0,5000,1000,0,1,"pay_duly",NA,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
9315,9315,170000,"female","graduate","single",29,5539,337,NA,11277,14277,-47,1147,11477,0,3000,0,NA,1,"pay_duly","pay_duly","pay_duly","use_revolv_credit",NA,"use_revolv_credit"
9316,9316,NA,"female","graduate","single",26,195126,NA,205635,212608,207919,205377,9500,NA,12018,3000,5000,12000,0,NA,"use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","2_month_delay"
9317,9317,NA,"female",NA,"single",25,0,0,0,0,-10810,-15296,NA,0,0,0,0,85929,1,"1_month_delay","no_util","no_util",NA,"no_util","no_util"
NA,NA,150000,"male","highschool","married",46,96396,98366,99456,79956,78154,76634,4073,3404,2722,54788,2770,2798,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9319,9319,200000,"female","highschool","married",41,199802,195038,129415,88682,74132,71281,9231,4872,NA,2637,2591,NA,0,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9320,9320,200000,NA,"graduate","married",39,91415,79928,23532,23632,12852,5799,NA,NA,5060,1549,3029,8419,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9321,9321,180000,"female","graduate","married",44,97925,98817,98495,96309,98484,NA,4303,4200,3500,3700,3600,3800,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9322,9322,500000,"female","graduate","single",34,119451,143348,159291,262663,308074,400050,26000,20000,106700,50000,100000,200000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
9323,NA,20000,"female","university","single",24,13867,14834,15931,15850,16226,14411,1500,1450,369,429,288,250,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9324,NA,500000,"male","university","married",39,342548,290244,250186,276579,239874,226502,8628,6242,NA,7945,7840,6966,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
9325,9325,80000,"female","graduate","married",47,15739,17253,35369,18351,14249,10637,17253,35369,NA,14249,10637,12331,0,"pay_duly",NA,"pay_duly","pay_duly",NA,NA
9326,9326,80000,"female","highschool","single",23,71988,76940,68255,55983,59823,51519,6200,2000,2,6278,NA,1567,0,"use_revolv_credit","use_revolv_credit","2_month_delay",NA,"2_month_delay","2_month_delay"
9327,9327,360000,"male","graduate",NA,30,36590,29751,NA,12936,7970,7970,NA,1000,1000,3000,0,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9328,NA,230000,"female","graduate","single",NA,12089,2306,13827,11686,46963,15962,2306,NA,11686,46963,15962,1596,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
9329,9329,70000,"male","university","single",32,21986,21351,NA,22723,24351,23809,0,1400,1000,2000,0,2074,1,"3_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay"
9330,9330,20000,"male","university","single",25,1000,NA,16668,16105,16496,16872,0,25464,0,800,800,800,0,"no_util","no_util","pay_duly","2_month_delay","use_revolv_credit","use_revolv_credit"
9331,9331,250000,"female","university","married",37,215928,221963,224949,229577,234221,238960,9510,8160,NA,NA,8625,8737,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9332,9332,400000,"male","university","single",33,NA,58018,52383,48139,35898,30754,NA,3000,3000,NA,3000,4000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9333,9333,420000,"female","graduate","married",30,3790,19292,15068,37435,-1896,18995,19292,15087,37435,287,25087,3046,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
9334,9334,320000,"male","university",NA,37,31989,35554,85376,88585,101546,NA,5001,92586,5001,15001,3011,6001,0,"use_revolv_credit","use_revolv_credit","pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9335,9335,30000,NA,"graduate","single",25,29108,NA,30477,30651,30107,26304,1800,1800,1300,1560,1000,NA,1,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9336,9336,470000,"male","graduate","single",30,290137,294980,276255,241089,223366,207733,15128,12235,10123,10019,NA,10000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9337,9337,70000,"male","graduate","single",31,65779,34480,33632,35747,38981,43331,3000,0,3000,4000,5000,0,NA,"1_month_delay","2_month_delay","2_month_delay","use_revolv_credit",NA,"use_revolv_credit"
9338,9338,70000,"female","university","single",NA,18193,19241,19346,15754,15855,15011,1352,NA,545,726,353,99,1,"pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9339,NA,NA,"female","graduate","single",25,22399,25859,26540,13842,16299,18547,5000,1500,499,NA,3000,3000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9340,9340,30000,"female","university","married",22,14274,14367,13296,12516,0,0,1000,0,NA,0,0,0,1,"1_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit",NA
9341,9341,30000,"female","university","married",45,30330,30948,29480,28805,19733,16543,1400,0,928,602,NA,1299,1,"2_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,9342,NA,NA,"university","single",35,67306,69023,69340,39191,40009,40893,NA,2310,1600,1600,1700,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9343,NA,20000,"female","highschool","single",50,16350,NA,18488,19179,19720,19822,1300,1400,1000,1000,626,300,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
9344,9344,210000,"male","university",NA,31,200332,195530,176634,NA,NA,128838,0,6800,4900,4500,4700,4900,1,"2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit"
9345,9345,170000,"female","graduate","married",36,1000,1000,3000,1000,1000,1500,1000,3000,0,1000,1500,1000,0,"pay_duly","pay_duly","pay_duly","use_revolv_credit",NA,"pay_duly"
9346,9346,300000,"male","university","single",31,86267,78176,48163,NA,5121,5663,NA,48408,13538,5145,NA,NA,NA,"pay_duly","pay_duly","pay_duly","pay_duly",NA,"pay_duly"
9347,9347,10000,"female","university","single",24,NA,8275,NA,9266,9501,9729,NA,1270,NA,350,350,300,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
9348,9348,50000,"female","graduate","single",24,220,220,677,1200,666,1480,NA,677,1200,666,1480,NA,0,"no_util","no_util","no_util","no_util","no_util","no_util"
9349,9349,200000,"female","university",NA,30,35706,34064,30519,26166,28097,29855,1500,2547,2500,2500,3500,2000,NA,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
9350,9350,NA,"female","graduate","single",36,2978,125,15064,101,1011,1411,125,15064,101,1011,1906,486,0,"pay_duly","pay_duly","no_util","no_util","no_util","no_util"
9351,9351,NA,"female","university","married",34,14986,25772,12621,13983,3378,3770,25772,1500,13983,3378,2000,NA,0,NA,"pay_duly",NA,"pay_duly","pay_duly","use_revolv_credit"
9352,9352,260000,NA,"graduate",NA,30,449,1340,0,0,0,0,1340,0,0,0,0,3250,0,"pay_duly","pay_duly","pay_duly","no_util","no_util","no_util"
9353,9353,10000,NA,NA,"married",NA,10000,7419,7392,8265,8631,17974,7419,NA,1000,500,500,500,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9354,NA,140000,"male","graduate","single",28,23702,23917,24460,435,435,435,NA,1000,435,435,435,435,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","pay_duly","pay_duly"
9355,NA,50000,"male","highschool","single",43,97348,49221,29457,9279,NA,19947,3711,1060,212,888,19709,690,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","use_revolv_credit"
9356,NA,330000,"female","university","married",42,18516,24202,32912,36710,40442,42283,10000,10000,5000,5000,5000,NA,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9357,9357,130000,"female","graduate",NA,29,-200,-200,0,2115,0,0,NA,200,2115,0,0,0,1,"no_util","no_util","no_util","no_util","no_util","no_util"
9358,9358,360000,"female","graduate","single",33,0,883,887,26292,22279,550,NA,4,26514,NA,550,2500,0,"no_util","pay_duly","2_month_delay","pay_duly","use_revolv_credit","use_revolv_credit"
9359,9359,450000,"male","graduate","single",28,9845,11991,17111,19585,9756,3282,3000,10000,3000,10000,3300,326,0,"pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly",NA
9360,9360,500000,"male","graduate","single",36,15401,NA,54759,52030,71797,93159,23128,40105,NA,71852,93218,179568,0,NA,"pay_duly","use_revolv_credit","pay_duly","pay_duly",NA
9361,9361,NA,"male","university","married",33,8383,NA,2220,2220,NA,NA,3470,2220,2220,3356,2220,NA,0,"pay_duly","pay_duly","pay_duly",NA,"pay_duly","pay_duly"
9362,9362,60000,"female","university","single",29,9045,NA,6770,6880,5021,4952,1000,1000,1000,2000,NA,3000,0,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9363,9363,340000,"male","university","married",42,76166,83909,169911,130718,131684,126223,10000,115000,5000,6000,10000,10000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9364,9364,500000,"female","university","married",53,7855,17481,12021,132906,122256,37380,17512,12021,NA,0,37380,3500,0,"pay_duly",NA,"pay_duly","pay_duly","use_revolv_credit","pay_duly"
9365,NA,270000,"female","university","married",33,121065,96197,92217,NA,96367,97793,3500,3349,3400,3800,3300,2601,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9366,9366,NA,"male","university","single",33,24060,17474,18297,20114,13235,12482,1400,1183,2000,1200,0,610,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay"
9367,9367,20000,"male",NA,NA,29,11455,12866,5596,NA,8063,8769,2000,1500,NA,1000,1000,2100,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
9368,9368,130000,"female","graduate","married",36,9164,4603,5000,NA,0,390,4605,5000,1500,0,390,5874,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
NA,9369,NA,"female","graduate","married",NA,110778,111431,96867,77140,81849,78046,3796,4262,2645,5834,2771,2945,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,9370,NA,NA,"university","single",25,NA,173781,161223,145172,131346,NA,6781,7226,5032,5346,15003,15011,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9371,9371,NA,"female","university","married",NA,15000,1055,-180,2320,1286,1132,1055,0,2500,2000,1132,1110,NA,"use_revolv_credit","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
9372,9372,200000,"female","graduate","married",50,1662,2482,19272,22388,21105,3471,2482,19272,10004,10000,3471,13754,0,"pay_duly","pay_duly",NA,"use_revolv_credit","use_revolv_credit","pay_duly"
9373,9373,NA,"female","graduate","married",43,21057,2282,-185,-185,-185,665,2282,0,0,0,1000,0,NA,"pay_duly","pay_duly","pay_duly","no_util","no_util","pay_duly"
NA,9374,30000,"female","highschool","married",NA,NA,28198,29497,28268,30817,17219,NA,2457,0,3000,344,0,0,"1_month_delay","2_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit"
9375,9375,50000,"male","university","single",NA,NA,47893,48760,22967,39687,23755,2000,2313,813,875,1008,695,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
9376,NA,50000,"male",NA,"single",33,53282,50936,49911,19817,20492,20365,3000,2300,715,1000,878,1000,1,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
9377,9377,450000,"female","graduate","married",69,2000,0,1173,NA,6265,2374,0,1173,0,6265,NA,708,NA,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
9378,9378,NA,"female","university","married",37,3811,NA,NA,10067,12567,12567,5000,2000,0,2500,0,0,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
9379,9379,350000,"male",NA,"single",NA,53562,49396,42968,38575,34226,31026,2045,1660,1338,1300,2000,865,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9380,9380,20000,"male","highschool",NA,22,20732,19981,431,20786,20355,18752,2,431,20355,0,2732,7189,1,"no_util","no_util","pay_duly","pay_duly","2_month_delay","2_month_delay"
9381,9381,170000,"male","university",NA,27,21958,NA,14549,NA,12509,64218,1300,2000,1000,2000,52292,2200,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9382,9382,240000,"female","university","married",NA,47320,NA,51652,54969,42373,48952,NA,6000,4059,14,10022,0,0,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay"
NA,9383,130000,"male","graduate","single",30,77939,78524,63421,60269,59984,27126,3916,3000,3000,3000,1000,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9384,9384,NA,"female","graduate","married",28,0,0,0,0,0,0,0,0,0,0,0,0,0,"1_month_delay","no_util",NA,"no_util","no_util","no_util"
9385,9385,NA,"male","university","single",26,9526,9240,8950,8660,8840,9472,NA,0,0,468,NA,NA,0,"1_month_delay",NA,"3_month_delay",NA,"use_revolv_credit","use_revolv_credit"
9386,9386,10000,NA,"highschool",NA,42,8965,8640,9412,9604,NA,0,1228,1000,192,196,0,NA,1,"2_month_delay","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
9387,9387,200000,"female","highschool","single",70,7109,9999,5300,5300,0,0,10025,5300,0,0,0,0,0,NA,"pay_duly","pay_duly","use_revolv_credit","use_revolv_credit","no_util"
9388,9388,150000,"female","university","married",NA,39883,41045,NA,40699,25218,9340,1806,1462,2000,0,2000,44,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit"
9389,9389,50000,NA,"other","single",33,47423,33843,31251,30935,28905,27487,1600,1600,1200,1200,1000,972,NA,NA,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
9390,9390,40000,"male","university","single",26,NA,40690,32183,38897,40234,40536,1900,390,NA,2500,1500,0,0,"1_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
9391,9391,400000,"male","graduate",NA,42,NA,100815,15906,81768,4887,43827,NA,15942,82308,4903,44257,53406,0,"no_util","no_util","no_util","no_util","no_util","no_util"
9392,NA,80000,"male",NA,"single",25,832,NA,832,416,832,416,0,832,0,832,0,416,1,"pay_duly","2_month_delay",NA,"use_revolv_credit","pay_duly",NA
9393,9393,50000,"male","university","single",NA,2809,187,3135,937,-3,894,0,3141,2,0,897,906,0,"pay_duly","2_month_delay","pay_duly","use_revolv_credit","use_revolv_credit","pay_duly"
9394,9394,170000,"male","university","single",42,142118,144803,NA,119956,121277,122926,NA,6165,5004,5003,5001,5009,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,9395,190000,"male","highschool","single",34,47713,49242,52394,NA,113760,116299,3000,5000,5000,60000,5000,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
9396,9396,20000,"male","university","married",62,19724,NA,NA,0,NA,0,1000,0,20500,0,0,0,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","no_util","no_util","no_util"
NA,9397,30000,"female","graduate","single",23,12271,11791,11305,12216,12374,12026,0,0,1100,500,0,445,0,"1_month_delay","3_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
9398,9398,20000,NA,"graduate","single",NA,14492,15759,NA,17873,18073,10817,1500,NA,651,500,1000,500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,9399,NA,"female",NA,"single",NA,171189,176989,178698,NA,155517,154668,10000,10000,8004,10000,6000,NA,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9400,9400,100000,"female","highschool",NA,66,82583,83398,85103,86802,88912,90400,3035,3100,3100,3500,3500,7100,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9401,9401,50000,"male","university","married",34,44849,41873,28077,18291,16886,27476,2550,1636,NA,1000,1000,1000,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9402,9402,120000,"female","highschool","married",54,67094,69010,70683,71504,73230,73613,3000,3000,2300,2600,2500,1500,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9403,9403,80000,"female","graduate","single",24,329,49,317,827,390,120,500,320,NA,400,120,400,0,"pay_duly",NA,"pay_duly","pay_duly",NA,"pay_duly"
9404,9404,340000,"female",NA,"single",39,132749,134235,128079,64598,12014,710,5290,6706,3003,241,712,43974,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,9405,110000,NA,"university","single",23,111271,111532,107998,79211,77881,80628,NA,4016,3000,3000,4000,4000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9406,9406,90000,"female","university",NA,42,390,0,NA,-780,780,0,0,0,0,1560,0,0,0,NA,"pay_duly","no_util","no_util","pay_duly","pay_duly"
9407,9407,10000,"male","university","single",26,2989,3454,2917,1473,390,1320,NA,1000,29,390,1320,0,1,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","pay_duly"
9408,9408,160000,NA,"university","single",28,0,0,0,0,0,0,0,NA,0,0,0,0,0,"no_util","no_util","no_util","no_util","no_util","no_util"
NA,9409,170000,"male","graduate","single",NA,23535,22876,25674,24963,25640,26278,0,3503,0,1078,1215,1000,0,"1_month_delay","2_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit"
9410,9410,NA,"female",NA,"married",28,8325,-4341,-15641,NA,-4220,-16370,0,752,34000,284,3650,52719,0,NA,NA,"no_util","no_util","no_util","no_util"
9411,9411,310000,"male","graduate","single",32,6023,23782,26024,26201,20896,6579,18000,3000,1500,500,6579,40200,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly"
9412,9412,110000,"male","university",NA,55,106670,108727,107386,78268,75846,75685,6000,3300,NA,3008,3000,3069,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,9413,50000,NA,"highschool","single",23,0,0,0,0,0,0,0,0,NA,0,0,0,0,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
9414,9414,100000,"female","graduate","married",39,97284,99542,99898,99786,97670,100959,NA,2950,3100,5,6170,7,1,NA,"2_month_delay","2_month_delay",NA,"2_month_delay","2_month_delay"
9415,NA,350000,"female","graduate","single",29,42518,31386,24540,22187,12900,7938,1740,1000,452,448,2000,8206,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9416,9416,310000,"female","university","single",27,192910,188501,NA,202835,199417,203830,0,7000,15001,1,8001,8001,0,"1_month_delay","2_month_delay","use_revolv_credit",NA,"2_month_delay","use_revolv_credit"
9417,9417,120000,"female","university","married",NA,109399,NA,36850,37739,38381,39142,3900,1700,1500,1400,NA,1500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9418,9418,50000,"female","highschool","married",25,NA,NA,NA,9580,9793,8768,48000,3009,1000,321,2000,NA,0,"1_month_delay","pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
9419,NA,300000,"male","graduate","single",32,10566,11293,12000,3458,56338,56735,1200,1200,9427,55000,2000,2000,0,"1_month_delay","2_month_delay",NA,"pay_duly","use_revolv_credit",NA
9420,9420,130000,"female","university",NA,29,172094,156589,145398,NA,138893,127502,0,NA,NA,2778,NA,3689,0,"2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
9421,9421,260000,"male","graduate","single",30,1943,855,NA,1055,710,755,NA,7288,1055,710,755,955,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
9422,9422,490000,"male","graduate","single",35,-13,2639,NA,1231,1419,14143,2652,1618,1237,1426,14214,11493,0,"no_util","no_util","no_util","no_util","no_util","no_util"
9423,9423,500000,"male","graduate",NA,43,14872,53132,74478,61069,37369,2581,53421,74559,1343,907,2592,42767,0,NA,"pay_duly","pay_duly","use_revolv_credit","use_revolv_credit","pay_duly"
9424,9424,30000,"female","graduate","single",25,9634,4476,NA,8153,6422,500,7,7002,13,NA,1,0,0,"no_util",NA,"no_util","no_util","no_util","no_util"
9425,9425,60000,"female","graduate","single",31,32632,34099,35525,38820,38066,39681,2000,2000,3900,NA,2400,1500,1,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","2_month_delay","use_revolv_credit"
9426,9426,140000,"female","university","married",45,NA,57549,60971,61374,63243,64554,3000,5000,2000,3000,2500,0,NA,"use_revolv_credit","use_revolv_credit",NA,"2_month_delay","2_month_delay","2_month_delay"
9427,9427,180000,"female","graduate","single",30,149525,152460,154206,135881,130728,NA,7320,6100,NA,NA,0,4300,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay"
9428,9428,20000,"male","graduate",NA,23,18436,19219,6140,6140,0,0,1500,NA,NA,0,0,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","no_util"
